entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
CONTRADICTION	8029.0	3.7	There is no tan skinned child looking at the camera	A tan skinned child is looking at the camera
CONTRADICTION	8031.0	3.8	A little boy with a bib is not watching the camera	A little boy with a bib is watching the camera
NEUTRAL	8032.0	4.1	A young boy with a bib is watching the camera	A tan skinned child is looking at the camera
ENTAILMENT	8037.0	4.9	A young boy in the blue shirt is jumping into the water	The young boy in the blue shirt is jumping into the water
CONTRADICTION	8038.0	3.9	The young boy in the blue shirt is not jumping into the water	The young boy in the blue shirt is jumping into the water
ENTAILMENT	8039.0	5.0	A young boy is diving into a still lake	A young boy is jumping into a still lake
NEUTRAL	8040.0	3.5	A young girl is jumping into a still lake	A young boy is jumping into a still lake
NEUTRAL	8041.0	4.0	The young boy in the blue shirt is jumping into the water	A young boy is diving into a still lake
NEUTRAL	8044.0	3.3	A young boy is jumping into a still lake	The young boy in the blue shirt is not jumping into the water
NEUTRAL	8047.0	3.5	Two people are carrying colorful baskets and blankets and walking near a building	Two people are carrying gray baskets and blankets and walking near a building
NEUTRAL	8049.0	4.2	Two people are sitting with laden baskets and blankets	Two people are walking with laden baskets and blankets
NEUTRAL	8050.0	4.3	Two people are carrying colorful baskets and blankets and walking near a building	Two people are walking with laden baskets and colorful blankets
ENTAILMENT	8055.0	4.5	A young girl is sitting in a swimsuit	A young girl is sitting in swimming gear
NEUTRAL	8058.0	3.9	A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head	A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head
NEUTRAL	8059.0	4.185	A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head	A young girl is sitting in swimming gear
NEUTRAL	8060.0	2.9	A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head	A young girl is sitting in swimming gear
ENTAILMENT	8064.0	4.5	A dog is running on a snowy road	A dog is running on a snowy path
NEUTRAL	8065.0	3.5	A dog is running on a muddy path	A dog is running on a snowy path
NEUTRAL	8067.0	3.4	A brown dog is running through a snowy trail	A white dog is running through a snowy trail
ENTAILMENT	8068.0	4.5	A brown dog is running through a snowy path	A dog is running on a snowy path
ENTAILMENT	8069.0	4.3	A white dog is running through a snowy trail	A dog is running on a snowy path
NEUTRAL	8071.0	3.4	A dog is running on a muddy path	A brown dog is running through a snowy trail
ENTAILMENT	8072.0	4.0	A brown dog is running through a snowy trail	A dog is running on a snowy path
ENTAILMENT	8073.0	4.3	Two boys in white outfits and red protective gear are sparring on a mat	Two children in white outfits and red protective gear are sparring on a mat
NEUTRAL	8076.0	3.9	Two boys are doing martial arts on a green mat	Two boys are doing martial arts on a blue mat
NEUTRAL	8077.0	3.8	Two kids are doing martial arts on a blue mat	Two children in white outfits and red protective gear are sparring on a mat
NEUTRAL	8079.0	3.4	Two boys are doing martial arts on a blue mat	Two boys in white outfits and red protective gear are sparring on a mat
ENTAILMENT	8084.0	4.5	A black and white dog is playing with a broken volleyball	A black and white dog is playing with a broken ball
NEUTRAL	8089.0	3.6	A black and white dog is playing with a frisbee in a brown field	A black and white dog is playing with a broken volleyball
ENTAILMENT	8090.0	4.3	A black and white dog is playing with a tattered volleyball in a brown field	A black and white dog is playing with a broken volleyball
ENTAILMENT	8091.0	4.9	A young boy in a helmet is riding a bike on the road	A bike is ridden on the road by a young boy in a helmet 
NEUTRAL	8092.0	3.5	A young boy in a helmet is riding a bike on the lawn	A young boy in a helmet is riding a bike on the road
ENTAILMENT	8093.0	4.8	The little boy is riding a bicycle in a race	A bicycle is being ridden by the little boy in a race
NEUTRAL	8094.0	3.6	The little boy is riding a bicycle in a race	The little girl is riding a bicycle in a race
NEUTRAL	8095.0	3.6	A bicycle is being ridden by the little boy in a race	A young boy in a helmet is riding a bike on the road
NEUTRAL	8096.0	3.0	A young boy in a helmet is riding a bike on the road	The little girl is riding a bicycle in a race
NEUTRAL	8104.0	3.4	A woman is being smeared with brown substance and a blurry crowd is in the background	A topless woman is being covered in mud
NEUTRAL	8105.0	4.0	A topless woman is being smeared with brown substance and a nobody is in the background	A topless woman is being covered in mud
NEUTRAL	8108.0	3.8	A topless woman is being covered in mud	A topless woman is being smeared with a brown substance and a blurry crowd is in the background
ENTAILMENT	8109.0	4.6	Two boys and a man are playing games at an arcade	Two kids and a man are playing games at an arcade
NEUTRAL	8110.0	3.7	Two kids and a man are playing games at an arcade	Two kids and a woman are playing games at an arcade
CONTRADICTION	8112.0	3.8	A family is not purchasing something at a vending machine	A family is purchasing something at the vending machine
NEUTRAL	8119.0	3.58	A female cheerleader is jumping on the knee of a male cheerleader	A female cheerleader is sitting on the knee of a male cheerleader
ENTAILMENT	8120.0	4.45	Some cheerleaders are taking a break	Some cheerleaders are relaxing
NEUTRAL	8121.0	3.8	Some cheerleaders are taking a break	Some cheerleaders are dancing
NEUTRAL	8124.0	2.9	Some cheerleaders are taking a break	A female cheerleader is sitting on the knee of a man
NEUTRAL	8126.0	3.5	A female cheerleader is sitting on the knee of a male cheerleader	Some cheerleaders are taking a break
ENTAILMENT	8127.0	4.8	A group of people is holding drinks and pointing at the camera	Drinks are being held by people pointing at the camera
ENTAILMENT	8129.0	4.5	Several young people are posing for a photo and holding beers	Several young people are posing for a photo and holding drinks
NEUTRAL	8130.0	3.265	Several young people are posing for a photo and holding beers	Several old people are posing for a photo and holding beers
NEUTRAL	8134.0	3.3	Several young people are posing for a photo and holding beers	A group of people is holding food and pointing at the camera
ENTAILMENT	8136.0	4.6	A girl with red hair and red eyebrows is talking	A girl with red hair and red eyebrows is in midspeech
NEUTRAL	8143.0	3.4	A girl with red hair and red eyebrows is in midspeech	The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back
NEUTRAL	8145.0	3.8	A woman in blue has a yellow ball in the mitt	A woman in blue has a yellow ball in the hand
ENTAILMENT	8147.0	4.4	The girl in blue is chasing the base runner with a number on the jersey	The girl in blue is chasing the player with a number on the jersey
NEUTRAL	8152.0	2.7	The girl in blue is chasing the base runner with a number on the jersey	A man in blue has a yellow ball in the mitt
CONTRADICTION	8155.0	4.2	The young man is not rock climbing	The young man is rock climbing
ENTAILMENT	8156.0	4.9	A man in a purple hat is climbing a rocky wall with bare hands	A rocky wall is climbed by a man in a purple hat with bare hands
CONTRADICTION	8157.0	3.6	A man in a purple hat isn't climbing a rocky wall with bare hands	A man in a purple hat is climbing a rocky wall with bare hands
ENTAILMENT	8158.0	4.2	A rocky wall is climbed by a man in a purple hat with bare hands	The young man is rock climbing
NEUTRAL	8159.0	2.8	A man in a purple hat isn't climbing a rocky wall with bare hands	The young man is rock climbing
NEUTRAL	8161.0	3.3	A man in a purple hat is climbing a rocky wall with bare hands	The young man is not rock climbing
NEUTRAL	8162.0	3.7	A man in a purple hat is climbing a rocky wall with bare hands	The young man is rock climbing
ENTAILMENT	8165.0	4.5	A blond woman is sitting on the roof of a yellow vehicle and two people are inside	A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside
NEUTRAL	8168.0	2.5	Two people are driving a jeep and a lady is sitting on the top of it	A blond woman is sitting on the roof of a yellow vehicle and two people are outside
NEUTRAL	8173.0	3.4	A large brown cat is jumping over a red hurdle	A large brown dog is jumping over a red hurdle
NEUTRAL	8175.0	4.1	A brown and white dog is jumping over a red, yellow and white hurdle	A brown and white dog is passing under a red, yellow and white hurdle
NEUTRAL	8177.0	3.1	A brown and white dog is passing under a red, yellow and white hurdle	A large brown dog is jumping over a red hurdle
NEUTRAL	8179.0	2.8	A brown and white dog is jumping over a red, yellow and white hurdle	A large brown cat is jumping over a red hurdle
NEUTRAL	8180.0	4.0	A brown and white dog is jumping over a red, yellow and white hurdle	A large brown dog is jumping over a red hurdle
CONTRADICTION	8184.0	3.6	A yellow dog is drinking water from the faucet	A yellow dog is not drinking water from the faucet
NEUTRAL	8186.0	4.3	The yellow dog is drinking water from a bottle	A yellow dog is not drinking water from the faucet
NEUTRAL	8187.0	3.9	The yellow dog is drinking water from a container	A yellow dog is drinking water from the faucet
CONTRADICTION	8189.0	3.8	A yellow dog is drinking water from the faucet	The yellow dog is drinking water from a bottle
ENTAILMENT	8190.0	4.8	Adults and children standing and playing in front of steps near a wooded area	Adults and children standing and playing in front of a stair near a wooded area
NEUTRAL	8191.0	3.6	Adults and children are standing and playing in front of steps near a desert area	Adults and children standing and playing in front of steps near a wooded area
ENTAILMENT	8192.0	5.0	The adults and children are being grouped near an outdoor seating arrangement	The adults and children are being gathered near an outdoor seating arrangement
NEUTRAL	8194.0	2.8	Adults and children standing and playing in front of steps near a wooded area	The adults and children are being grouped near an outdoor seating arrangement
NEUTRAL	8195.0	2.9	The adults and children are not gathered near an outdoor seating arrangement	Adults and children standing and playing in front of steps near a wooded area
NEUTRAL	8196.0	2.8	The adults and children are being gathered near an outdoor seating arrangement	Adults and children standing and playing in front of a stair near a wooded area
NEUTRAL	8199.0	4.435	A bride with a white dress is looking down	A bride with a white veil is looking down
NEUTRAL	8200.0	3.5	A bride with a black veil is looking down	A bride with a white veil is looking down
ENTAILMENT	8201.0	4.5	A woman is looking down and is wearing a wedding dress	A woman is looking down and is wearing a wedding veil
ENTAILMENT	8206.0	3.8	A bride with a black veil is looking down	A woman is looking down and is wearing a wedding veil
ENTAILMENT	8210.0	4.2	A girl has black and orange patches on the cheeks	A girl has colored patches on the cheeks
CONTRADICTION	8211.0	3.8	There is no girl with black and orange patches on the cheeks	A girl has black and orange patches on the cheeks
NEUTRAL	8213.0	2.6	There is no girl with black and orange patches on the cheeks	A girl is standing in a group and is wearing a black shirt and pink beads
NEUTRAL	8215.0	2.3	A girl has black and orange patches on the cheeks	A girl is standing alone and wears a black shirt and pink beads
NEUTRAL	8216.0	2.0	A girl is standing in a group and is wearing a black shirt and pink beads	A girl has black and orange patches on the cheeks
ENTAILMENT	8217.0	4.7	Two large dogs are frolicking in a grassy field	Two large dogs are frolicking in a field
ENTAILMENT	8219.0	4.8	Two dogs are running through high grass	Two animals are running through high grass
NEUTRAL	8223.0	3.9	Two large dogs are frolicking in a field	Two dogs are running through high grass
NEUTRAL	8225.0	3.8	Two dogs are running through high grass	Two large dogs are frolicking in a grassy field
NEUTRAL	8227.0	3.7	A white dog is running across a rocky landscape	A black dog is running across a rocky landscape
ENTAILMENT	8228.0	4.3	A black dog is walking along rocky terrain	A black dog is moving along rocky terrain
ENTAILMENT	8230.0	4.3	A black dog is running across a rocky landscape	A black dog is moving along rocky terrain
NEUTRAL	8233.0	3.0	A black dog is walking along rocky terrain	A white dog is running across a rocky landscape
ENTAILMENT	8246.0	4.4	Some young dirt bikers are getting a dirt bike up a sandy hill	Some young bikers are getting a dirt bike up a sandy hill
NEUTRAL	8247.0	4.0	Some young dirt bikers are getting a dirt bike up a sandy hill	Some old dirt bikers are getting a dirt bike up a sandy hill
NEUTRAL	8248.0	4.0	A young man is pushing a motocross bike up a dirt hill	Some young bikers are getting a dirt bike up a sandy hill
NEUTRAL	8249.0	3.3	A young man is pushing a motocross bike up a dirt hill	Some old dirt bikers are getting a dirt bike up a sandy hill
NEUTRAL	8251.0	2.9	Some young dirt bikers are getting a dirt bike up a sandy hill	A young man is pushing a motocross bike down a dirt hill
NEUTRAL	8258.0	3.2	A young man and a woman are riding bikes on the boardwalk near the ocean	A middle aged man and woman are riding bikes down a road beside the water
ENTAILMENT	8264.0	5.0	Pedestrians and cars are moving through a traffic jam in a big city	Pedestrians and cars are moving through a traffic jam in the big city
ENTAILMENT	8266.0	3.8	Some people and vehicles are on a crowded street	Pedestrians and cars are moving through a traffic jam in the big city
NEUTRAL	8267.0	3.9	Pedestrians and cars are moving through a traffic jam in a small city	Some people and vehicles are on a crowded street
NEUTRAL	8269.0	2.6	Some people and vehicles are on a almost empty street	Pedestrians and cars are moving through a traffic jam in a big city
NEUTRAL	8272.0	4.2	Two brown and white dogs are fighting on a grassy area in front of a tree	Two brown and white dogs are fighting on a grassy area behind a tree
NEUTRAL	8274.0	3.7	Two dogs are playing inside	Two dogs are playing outside
NEUTRAL	8276.0	2.8	Two dogs are playing inside	Two brown and white dogs are fighting on a grassy area in front of a tree
NEUTRAL	8277.0	3.8	Two brown and white dogs are fighting on a grassy area in front of a plant	Two dogs are playing outside
NEUTRAL	8281.0	2.9	A soccer player is sitting on the field and is drinking water	A soccer player is sitting on the field and is drinking beer
ENTAILMENT	8282.0	4.8	A man is sitting on the grass and drinking from a water bottle	A man is sitting on the lawn and drinking from a water bottle
NEUTRAL	8283.0	4.0	A man is sitting on the grass and drinking from a water bottle	A woman is sitting on the grass and is drinking from a water bottle
NEUTRAL	8285.0	3.3	A soccer player is sitting on the field and is drinking water	A woman is sitting on the grass and is drinking from a water bottle
NEUTRAL	8288.0	3.7	A soccer player is sitting on the field and is drinking water	A man is sitting on the grass and drinking from a water bottle
ENTAILMENT	8289.0	4.6	A dog is running on the sea shore	A dog is running on the beach
NEUTRAL	8294.0	4.2	The dog is running through the dry sand	A dog is running on the beach
NEUTRAL	8296.0	2.4	The dog is running through the wet sand	There is no dog running on the beach
ENTAILMENT	8300.0	4.5	A chubby faced boy is wearing sunglasses	A chubby faced boy is wearing dark glasses
ENTAILMENT	8304.0	4.5	A chubby faced boy is wearing sunglasses	Sunglasses are being worn by a boy
NEUTRAL	8305.0	3.3	A chubby faced boy is wearing sunglasses	A girl is wearing sunglasses
ENTAILMENT	8306.0	4.3	A chubby faced boy is wearing sunglasses	A boy is wearing sunglasses
ENTAILMENT	8307.0	4.9	Children are being dressed in costumes and playing a game	Kids are being dressed in costumes and playing a game
NEUTRAL	8312.0	2.7	Kids are being dressed in costumes and playing a game	A young boy with painted face is standing next to some other children
NEUTRAL	8314.0	2.9	A young girl with painted face is standing next to some other children	Kids are not dressed in costumes and playing a game
ENTAILMENT	8316.0	4.7	Dogs are racing on a track	Dogs are running on a track
CONTRADICTION	8317.0	3.0	Dogs are racing on a track	There is no dog racing on a track
NEUTRAL	8321.0	2.2	A horse is not racing	Dogs are racing on a track
NEUTRAL	8323.0	2.7	A horse is racing	There is no dog racing on a track
ENTAILMENT	8325.0	4.8	Two bmx bikers are jumping dirt ramps in front of the water	Two bmx bikers are jumping dirt ramps in front of a body of water
ENTAILMENT	8327.0	4.2	Some bikers are doing acrobatics on a track near water and a skyline	Some bikers are getting airborne on a track near water and a skyline
CONTRADICTION	8328.0	3.9	Some bikers are getting airborne on a track near water and a skyline	Some bikers are not getting airborne on a track near water and a skyline
NEUTRAL	8329.0	3.3	Two bmx bikers are jumping dirt ramps in front of a body of water	Some bikers are doing acrobatics on a track near water and a skyline
NEUTRAL	8330.0	3.9	Two bmx bikers are jumping dirt ramps in front of a body of water	Some bikers are not getting airborne on a track near water and a skyline
ENTAILMENT	8331.0	4.1	Two bmx bikers are jumping dirt ramps in front of the water	Some bikers are getting airborne on a track near water and a skyline
NEUTRAL	8333.0	3.735	Two bmx bikers are jumping dirt ramps in front of a body of water	Some bikers are getting airborne on a track near water and a skyline
NEUTRAL	8335.0	2.5	A man is doing a trick on a skateboard	A man is doing a trick on a bike
ENTAILMENT	8336.0	4.8	A man is doing a skateboard trick on an outdoor park porch	A man is doing a skateboard trick on a park porch
ENTAILMENT	8338.0	4.4	A man is doing a skateboard trick on a park porch	A man is doing a trick on a skateboard
NEUTRAL	8339.0	3.6	A woman is doing a skateboard trick on an outdoor park porch	A man is doing a trick on a skateboard
ENTAILMENT	8340.0	4.3	A man is doing a skateboard trick on an outdoor park porch	A person is doing a trick on a skateboard
ENTAILMENT	8345.0	4.6	A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle
NEUTRAL	8347.0	3.8	A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	A person in a motocross uniform is wearing a helmet and rides a red motorcycle
ENTAILMENT	8349.0	4.3	A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	A man in a motocross uniform is wearing a helmet and rides a red motorcycle
NEUTRAL	8351.0	4.1	A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	A person in a motocross uniform is wearing a helmet and rides a red motorcycle
ENTAILMENT	8352.0	4.4	People are sitting at square tables in a red room	People are sitting at tables in a red room
NEUTRAL	8355.0	3.9	Several people are sitting at small tables in a light room	Several people are sitting at small tables in a darkened room
NEUTRAL	8356.0	3.4	People are sitting at square tables in a red room	Several people are sitting at little tables in a darkened room
NEUTRAL	8358.0	3.7	Several people are sitting at small tables in a darkened room	People are sitting at tables in a red room
NEUTRAL	8360.0	3.2	Several people are sitting at small tables in a darkened room	People are sitting at square tables in a red room
ENTAILMENT	8363.0	4.6	A boy is jumping off the side of a water fountain made of stone in front of a building	A boy is jumping off the side of a stone water fountain in front of a building
NEUTRAL	8366.0	3.8	A boy in a striped shirt is jumping in front of a water fountain	A boy is jumping on the side of a stone water fountain in front of a building
NEUTRAL	8367.0	3.0	A boy is jumping off the side of a stone water fountain in front of a building	A boy in a striped shirt is playing in front of a water fountain
NEUTRAL	8368.0	3.4	A boy is jumping off the side of a stone water fountain in front of a building	A boy in a striped shirt is jumping behind a water fountain
NEUTRAL	8374.0	3.6	Two large dogs, a light colored one and a dark one, are quickly moving through snowy terrain	Two dogs are leaping through snowy grass and rocks
NEUTRAL	8376.0	4.2	Two dogs are jumping through snowy grass and rocks	Two large dogs, a light colored one and a dark one, are running through snowy terrain
NEUTRAL	8377.0	3.2	There is no dog leaping through snowy grass and rocks	Two large dogs, a light colored one and a dark one, are running through snowy terrain
ENTAILMENT	8379.0	4.7	A girl in blue is sliding down a green slide	A girl in blue is sliding down a slide
ENTAILMENT	8381.0	4.7	The young girl in blue is having fun on a slide	The young girl in blue is enjoying a slide
NEUTRAL	8384.0	2.835	A girl in blue is sliding down a green slide	The young girl in blue is having fun on a swing
ENTAILMENT	8388.0	4.5	A black man is walking next to a shop in a big city	A black man is walking next to a building in a big city
NEUTRAL	8396.0	3.3	A black man is walking next to a building in a big city	A man is looking into the distance and people is walking between buildings behind
CONTRADICTION	8400.0	3.785	There is no man playing guitar next to a drummer	A man is playing guitar next to a drummer
ENTAILMENT	8406.0	4.5	A black dog is jumping off a dock into a pond	A black dog is jumping off a dock into water
ENTAILMENT	8407.0	4.7	A black dog is jumping off a dock into a pond	A black dog is jumping on a dock into a pond
NEUTRAL	8409.0	3.8	A black dog is jumping from a dock into the water	A white dog is jumping from a dock into the water
ENTAILMENT	8412.0	4.9	A black dog is jumping off a dock into water	A black dog is jumping from a dock into the water
ENTAILMENT	8417.0	4.4	A little girl is smiling and running out of the house	A little girl is smiling and running outside
NEUTRAL	8419.0	3.7	A little girl is smiling and running out of the house	A girl in a white dress is running
NEUTRAL	8421.0	2.6	A little girl is smiling and running outside	A bride in a white dress is running
ENTAILMENT	8424.0	4.9	A skier in black is catching a tiny bit of air	A skier dressed in black is catching a tiny bit of air
NEUTRAL	8425.0	4.0	A skier in white is catching a tiny bit of air	A skier in black is catching a tiny bit of air
NEUTRAL	8426.0	4.1	A man is skiing down a snowy mountain	A man is skiing down a snowy hill
NEUTRAL	8430.0	3.7	A skier dressed in black is catching a tiny bit of air	A man is skiing down a snowy hill
NEUTRAL	8431.0	3.8	A man is skiing down a snowy hill	A skier in white is catching a tiny bit of air
CONTRADICTION	8434.0	3.9	A child is playing slip and slide in the grass	A child is not playing slip and slide in the grass
ENTAILMENT	8435.0	4.9	A child is splashing in a pool for children and other kids are playing in the background	A child is splashing in a pool for children and other children are playing in the background
NEUTRAL	8437.0	2.6	A child is playing slip and slide in the grass	A child is splashing in a pool for children and other kids are playing in the background
NEUTRAL	8441.0	2.6	A child is playing slip and slide in the grass	A child is splashing in a pool for children and other children are playing in the background
ENTAILMENT	8444.0	4.9	Two men are looking out and binoculars are being held by one of them	Two men are looking out and one is holding binoculars
ENTAILMENT	8446.0	4.0	Two men are standing together and one is looking through binoculars	Two men are looking out and binoculars are being held by one of them
NEUTRAL	8449.0	2.7	Two women are standing together and one is looking through binoculars	Two men are looking out and one is holding binoculars
CONTRADICTION	8452.0	3.2	A motorcyclist on a bike is leaning into a sharp corner	There is no motorcyclist on a bike leaning into a sharp corner
ENTAILMENT	8453.0	4.9	A man on a motorcycle is turning around a corner	A man on a motorcycle is going around a corner
ENTAILMENT	8455.0	4.5	A motorcyclist on a bike is leaning into a sharp corner	A man on a motorcycle is turning around a corner
NEUTRAL	8456.0	4.0	A motorcyclist on a bike is leaning into a sharp corner	A woman on a motorcycle is going around a corner
NEUTRAL	8457.0	4.2	A motorcyclist on a bike is leaning into a sharp corner	A man on a motorcycle is going around a corner
CONTRADICTION	8458.0	3.9	A man on a motorcycle is going around a corner	There is no motorcyclist on a bike leaning into a sharp corner
NEUTRAL	8459.0	4.0	A man on a motorcycle is going around a corner	A motorcyclist on a bike is leaning into a sharp corner
ENTAILMENT	8460.0	4.6	A man with a backwards hat is sitting on the ground	A person with a backwards hat is sitting on the ground
ENTAILMENT	8462.0	4.7	A young man in a white shirt and gold and black hat is sitting with crossed legs	A young person in a white shirt and gold and black hat is sitting with crossed legs
ENTAILMENT	8469.0	4.7	A young oriental girl is standing above the crowd and is playing with a pinwheel	A young oriental girl is standing above people and is playing with a pinwheel
NEUTRAL	8470.0	4.2	A young occidental girl is standing above the crowd and is playing with a pinwheel	A young oriental girl is standing above the crowd and is playing with a pinwheel
NEUTRAL	8474.0	2.6	A young oriental girl is standing above the crowd and is playing with a pinwheel	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair
NEUTRAL	8475.0	2.4	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	A young oriental girl is standing above people and is playing with a pinwheel
NEUTRAL	8476.0	2.7	A young occidental girl is standing above the crowd and is playing with a pinwheel	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair
ENTAILMENT	8479.0	4.4	A young man on a bmx bicycle is jumping on a masonry pyramid	A young man on a bmx bicycle is jumping off a masonry pyramid
CONTRADICTION	8481.0	4.1	There is no bicyclist jumping on a pyramid-shaped ramp	A bicyclist is jumping on a pyramid-shaped ramp
NEUTRAL	8482.0	4.0	A young man on a bmx bicycle is jumping off a masonry pyramid	A man on a bike is jumping on a pyramid-shaped ramp
NEUTRAL	8483.0	3.9	There is no bicyclist jumping on a pyramid-shaped ramp	A young man on a bmx bicycle is jumping off a masonry pyramid
ENTAILMENT	8484.0	4.0	A young man on a bmx bicycle is jumping off a pyramid	A bicyclist is jumping on a pyramid-shaped ramp
ENTAILMENT	8486.0	4.2	A bicyclist is jumping on a pyramid-shaped ramp	A young man on a bmx bicycle is jumping off a masonry pyramid
ENTAILMENT	8489.0	5.0	A man with no shirt is holding a football	A football is being held by a man with no shirt
NEUTRAL	8490.0	3.3	A man with a shirt is holding a football	A man with no shirt is holding a football
NEUTRAL	8492.0	2.7	A man with a shirt is holding a football	A shirtless man is playing football on a lawn
NEUTRAL	8493.0	3.5	A shirtless man is playing football on a field	A man with no shirt is holding a football
NEUTRAL	8494.0	4.0	A man with no shirt is holding a football	A shirtless man is playing football in a gym
NEUTRAL	8501.0	3.5	The person is not going into the water	The man is going into the water
ENTAILMENT	8502.0	4.3	The man is going into the lake	The person is going into the water
ENTAILMENT	8504.0	4.5	The man is going into the water	The person is going into the water
NEUTRAL	8506.0	3.2	Two people are sitting on a park bench on a sunny day	Two people are sitting on a park bench on a rainy day
NEUTRAL	8507.0	4.2	Two women dressed in white and black are relaxing on a bench	Two women dressed in white and black are sitting on a bench
NEUTRAL	8511.0	3.6	Two people are sitting on a park bench on a hot day	Two women dressed in white and black are sitting on a bench
NEUTRAL	8512.0	3.9	Two women dressed in white and black are sitting on a bench	Two people are sitting on a park bench on a rainy day
ENTAILMENT	8514.0	4.4	Five people are standing in the grass with three dogs	Five people are standing in the grass with some dogs
NEUTRAL	8516.0	4.3	Five people are standing with three dogs in the green field beside the road	Five people are standing with three dogs in the park beside the road
NEUTRAL	8517.0	3.5	Five people are running with three dogs in the green field beside the road	Five people are standing with three dogs in the green field beside the road
ENTAILMENT	8520.0	4.4	Five people are standing with three dogs in the green field beside the road	Five people are standing in the grass with some dogs
CONTRADICTION	8521.0	3.7	Five people are standing in the grass with no dogs	Five people are standing with three dogs in the green field beside the road
NEUTRAL	8524.0	4.2	An old woman is carrying a lot of colorful scarves on the beach	A young woman is carrying a lot of colorful scarves on the beach
ENTAILMENT	8525.0	5.0	A rainbow afghan is being held by a girl in gold and purple	A girl in gold and purple is holding a rainbow afghan
NEUTRAL	8528.0	1.5	A man in gold and purple is holding a rainbow afghan	A young woman is carrying a lot of colorful scarves on the beach
NEUTRAL	8529.0	2.3	A girl in gold and purple is holding a rainbow afghan	A girl is carrying a lot of colorful scarves on the beach
NEUTRAL	8530.0	1.5	An old woman is carrying a lot of colorful scarves on the beach	A girl in gold and purple is holding a rainbow afghan
ENTAILMENT	8532.0	4.7	A light brown dog is running in the water	A light brown dog is sprinting in the water
NEUTRAL	8536.0	4.0	A light brown dog is running in the water	A tan dog is playing in the water on the bank of a pond
NEUTRAL	8537.0	3.9	A light brown dog is running in the water	A tan dog is splashing in the water on the bank of a river
NEUTRAL	8538.0	2.9	A tan dog is splashing in the water on the bank of a pond	A light brown dog is sprinting in the water
ENTAILMENT	8541.0	4.5	The child is splashing water in a small blue pool	The child is splashing water in a pool
ENTAILMENT	8543.0	4.4	A baby is splashing inside a blue paddling pool	A toddler is making a splash inside a blue paddling pool
CONTRADICTION	8551.0	4.3	A grey silky dog is running in the grass and a brown dog looks on	A grey silky dog is lying in the grass and a brown dog is looking on
NEUTRAL	8555.0	2.4	The brown dog is spotting a black dog and is playing in the dry grass	A grey silky dog is lying in the grass and a brown dog is looking on
ENTAILMENT	8561.0	4.5	A man in a hat is standing outside of a green jeep	A man in a hat is standing outside of a green vehicle
CONTRADICTION	8562.0	3.95	A man in a hat is standing outside of a green jeep	A man with no hat is standing outside of a green jeep
NEUTRAL	8563.0	2.6	A man is standing on a dirt hill next to a black jeep	A man in a hat is standing outside of a green vehicle
NEUTRAL	8564.0	3.4	A man with no hat is standing outside of a green jeep	A man is standing on a dirt hill next to a black jeep
NEUTRAL	8566.0	2.4	A man in a hat is standing outside of a green jeep	A man is standing on a black jeep on a dirt hill
NEUTRAL	8567.0	3.4	A man in a hat is standing outside of a green jeep	A man is standing on a dirt hill next to a black jeep
NEUTRAL	8569.0	2.2	A black dog and a small white and black dog are looking up at a kitchen countertop	A black cat and a small white and black cat are looking up at a kitchen countertop
ENTAILMENT	8571.0	4.4	A large dog and a small dog are standing next to the kitchen counter and are investigating	A large dog and a small dog is standing on the kitchen counter and investigate
NEUTRAL	8572.0	4.2	A black dog and a small white and black dog are looking up at a kitchen countertop	A large dog and a small dog are standing next to the kitchen counter and are sniffing
NEUTRAL	8574.0	4.3	A large dog and a small dog are standing next to the kitchen counter and are investigating	Two dogs are looking up at a kitchen countertop
NEUTRAL	8578.0	3.8	A dog is rolling on the ground	A dog is sleeping on the ground
ENTAILMENT	8581.0	4.3	A tan dog which is dirty is rolling in the dirt and looking right at the camera	A dog is rolling on the ground
NEUTRAL	8582.0	2.6	A dirty tan dog is rolling in the water and looking right at the camera	A dog is rolling on the ground
NEUTRAL	8584.0	3.1	A dirty tan dog is rolling in the dirt and looking right at the camera	A dog is sleeping on the ground
ENTAILMENT	8586.0	4.9	An Arabic man is wearing a white hat	A white hat is being worn by an Arabic man
ENTAILMENT	8588.0	4.5	A man with a white hat and brown shirt is behind a woman in red and is looking to the left	A man with a white hat and brown shirt is behind a woman in red and is looking to the side
